cod_frases,Frase_reflexiva,data
cod_1,"""A verdadeira beleza está na simplicidade da alma e na sinceridade do coração. Cultive essas qualidades e verá o mundo se abrir diante de você.""",2024-07-06
cod_2,"""Assim como uma semente precisa ser plantada e regada para crescer, nossos sonhos precisam de dedicação e persistência para se realizarem. Nunca desista de regar seus sonhos com amor e ação.""",2024-07-06
cod_3,"""Não há sonho tão distante que não possa ser alcançado com determinação e fé. Acredite em si mesmo e siga em frente, a jornada é longa, mas a recompensa é certa.""",2024-07-06
cod_4,"""Em meio às tempestades da vida, lembre-se que o arco-íris só surge após a chuva. Tenha fé e perseverança, pois melhores dias sempre virão.""",2024-07-06
cod_5,"""A verdadeira beleza está no modo como você encara a vida, nas pequenas alegrias do dia a dia e no amor que você compartilha com aqueles que te rodeiam.""",2024-07-06
cod_6,"""Que a vida te traga sempre motivos para sorrir, força para seguir em frente e amor para preencher o coração. Você é capaz de alcançar tudo o que deseja, basta acreditar em si mesmo.""",2024-07-06
cod_7,"""A vida é uma jornada repleta de desafios, mas é na superação deles que encontramos nossa verdadeira força e crescimento. Mantenha a fé e siga em frente, pois cada obstáculo é uma oportunidade de evoluir e se tornar alguém ainda mais forte e resiliente.""",2024-07-06
cod_8,"""Que a luz da tua alma brilhe sempre tão forte que ilumine o caminho daqueles que estão ao teu redor, que a tua presença seja um bálsamo de paz e amor para todos que cruzarem o teu caminho.""",2024-07-06
cod_9,"""Que a luz da esperança ilumine sempre o seu caminho, e que a força do amor guie seus passos em direção à felicidade.""",2024-07-06
cod_10,"""Que cada amanhecer seja uma nova oportunidade de ser feliz e fazer alguém feliz. A vida é feita de pequenos gestos de amor e compaixão.""",2024-07-06
cod_11,"""Nunca subestime a força que há dentro de você. Você é capaz de superar todos os desafios que a vida lhe apresentar. Acredite em si mesmo e siga em frente, pois o sucesso está logo ali, esperando por você.""",2024-07-06
cod_12,"""Que a paz e a serenidade possam sempre guiar seus passos, iluminando o caminho com amor e sabedoria.""",2024-07-06
cod_13,"""O tempo é o melhor remédio para curar feridas, a paciência é a melhor aliada para superar desafios.""",2024-07-06
cod_14,"""Que a luz da esperança guie seus passos, iluminando o caminho em direção aos seus sonhos mais profundos.""",2024-07-06
cod_15,"""Que a luz da esperança ilumine seu caminho e o amor guie seus passos, tornando cada desafio em uma oportunidade de crescimento e transformação.""",2024-07-06
cod_16,"""Que a luz da esperança ilumine sempre o seu caminho, trazendo paz e força para enfrentar qualquer desafio que a vida possa te apresentar.""",2024-07-06
cod_17,"""A vida é um presente precioso, valorize cada momento e cultive as boas energias ao seu redor, pois a felicidade reside nas pequenas coisas do dia a dia.""",2024-07-06
cod_18,"""Que a luz da esperança ilumine sempre o seu caminho, guiando seus passos com amor e sabedoria.""",2024-07-06
cod_19,"""Que a luz da esperança guie sempre seus passos e ilumine seu caminho, mostrando que a beleza da vida está em cada pequeno detalhe.""",2024-07-06
cod_20,"""A vida é um presente precioso, então não deixe de valorizar cada momento ao lado daqueles que amamos.""",2024-07-06
cod_21,"""O amor e a bondade são os ingredientes essenciais para uma vida plena e feliz. Cultive-os em seu coração e distribua-os ao mundo ao seu redor.""",2024-07-06
